gen,dorada_FC,dorada_regulacion,dorada_FDR,lubina_FC_ANT_POS,lubina_patron,lubina_FDR,descripcion,categoria,clasificacion
rar,-2.97,↓,0.0259862996172565,,—,,,Factores_transcripcion,Específico dorada
lgals3bp,1.29,↑,0.0253828746284573,,—,,,Inmunidad_mucosa,Específico dorada
samd3,7.32,↑,0.0242783349382517,,—,,,Inmunidad_mucosa,Específico dorada
fam189a,-1.99,↓,0.0052898075399152,,—,,,Integridad_intestinal,Específico dorada
lama5,-2.23,↓,0.046523256520798,,—,,,Integridad_intestinal,Específico dorada
sez6,-1.86,↓,0.0284768795024853,,—,,,Integridad_intestinal,Específico dorada
hao,-2.55,↓,0.0144882135932943,,—,,,Metabolismo,Específico dorada
acidic mammalian chitinase-like,5.53,↑,0.0007993616121979,,—,,acidic mammalian chitinase-like [Sparus aurata (gilthead seabream)],Otros,Específico dorada
alcohol dehydrogenase ,-3.34,↓,0.0284768795024853,,—,,alcohol dehydrogenase 1 [Sparus aurata (gilthead seabream)],Otros,Específico dorada
bifunctional epoxide hydrolase 2-like,2.94,↑,0.046523256520798,,—,,bifunctional epoxide hydrolase 2-like [Sparus aurata (gilthead seabream)],Otros,Específico dorada
butyrophilin subfamily 3 member a1-like,2.28,↑,0.0220765058860048,,—,,butyrophilin subfamily 3 member A1-like [Sparus aurata (gilthead seabream)],Otros,Específico dorada
caspase-6-like,-2.53,↓,0.046523256520798,,—,,caspase-6-like [Sparus aurata (gilthead seabream)],Otros,Específico dorada
complement c1q subcomponent subunit c-like,4.88,↑,0.0269158226807824,,—,,complement C1q subcomponent subunit C-like [Sparus aurata (gilthead seabream)],Otros,Específico dorada
complement factor d-like,4.62,↑,0.0269158226807824,,—,,complement factor D-like [Sparus aurata (gilthead seabream)],Otros,Específico dorada
elongation factor 1-alpha-like,3.56,↑,0.0021835526089109,,—,,elongation factor 1-alpha-like [Sparus aurata (gilthead seabream)],Otros,Específico dorada
fc receptor-like protein 5,1.46,↑,0.0447928692906411,,—,,Fc receptor-like protein 5 [Sparus aurata (gilthead seabream)],Otros,Específico dorada
gtpase imap family member 5-like,5.64,↑,0.0499795767856688,,—,,GTPase IMAP family member 5-like [Sparus aurata (gilthead seabream)],Otros,Específico dorada
interferon alpha/beta receptor 2-like,1.49,↑,0.0242783349382517,,—,,interferon alpha/beta receptor 2-like [Sparus aurata (gilthead seabream)],Otros,Específico dorada
liver carboxylesterase 2-like,1.85,↑,0.0380752589607167,,—,,liver carboxylesterase 2-like [Sparus aurata (gilthead seabream)],Otros,Específico dorada
lysozyme g-like,4.61,↑,9.21462888929315e-06,,—,,lysozyme g-like [Sparus aurata (gilthead seabream)],Otros,Específico dorada
major histocompatibility complex class i-related gene protein-like,-2.41,↓,0.0253828746284573,,—,,major histocompatibility complex class I-related gene protein-like [Sparus aurata (gilthead seabream)],Otros,Específico dorada
neuronal acetylcholine receptor subunit alpha-7-like,-2.04,↓,0.0001664296175071,,—,,neuronal acetylcholine receptor subunit alpha-7-like [Sparus aurata (gilthead seabream)],Otros,Específico dorada
"nuclear factor 7, brain-like",2.46,↑,0.0231810765478103,,—,,"nuclear factor 7, brain-like [Sparus aurata (gilthead seabream)]",Otros,Específico dorada
probable n-acetyltransferase camello,-2.19,↓,0.0317327533907858,,—,,probable N-acetyltransferase camello [Sparus aurata (gilthead seabream)],Otros,Específico dorada
programmed cell death 1 ligand 1-like,-1.27,↓,0.0144882135932943,,—,,programmed cell death 1 ligand 1-like [Sparus aurata (gilthead seabream)],Otros,Específico dorada
transmembrane protein 184c-like,-2.34,↓,0.046523256520798,,—,,transmembrane protein 184C-like [Sparus aurata (gilthead seabream)],Otros,Específico dorada
tripartite motif-containing protein 16-like,1.35,↑,0.0052898075399152,,—,,tripartite motif-containing protein 16-like [Sparus aurata (gilthead seabream)],Otros,Específico dorada
uncharacterized loc115575650,1.79,↑,0.0056655064366701,,—,,uncharacterized LOC115575650 [Sparus aurata (gilthead seabream)],Otros,Específico dorada
uncharacterized loc115589573,1.57,↑,0.0311719143860509,,—,,uncharacterized LOC115589573 [Sparus aurata (gilthead seabream)],Otros,Específico dorada
uncharacterized loc115589840,6.29,↑,0.0014466246829769,,—,,uncharacterized LOC115589840 [Sparus aurata (gilthead seabream)],Otros,Específico dorada
uncharacterized loc115590064,-2.18,↓,0.0269158226807824,,—,,uncharacterized LOC115590064 [Sparus aurata (gilthead seabream)],Otros,Específico dorada
uncharacterized loc115590067,1.75,↑,0.046523256520798,,—,,uncharacterized LOC115590067 [Sparus aurata (gilthead seabream)],Otros,Específico dorada
uncharacterized loc11559048,1.32,↑,0.0052898075399152,,—,,uncharacterized LOC115590482 [Sparus aurata (gilthead seabream)],Otros,Específico dorada
uncharacterized loc115594395,4.43,↑,0.0098024210846576,,—,,uncharacterized LOC115594395 [Sparus aurata (gilthead seabream)],Otros,Específico dorada
zinc-binding protein a33-like,2.35,↑,0.0352182045313845,,—,,zinc-binding protein A33-like [Sparus aurata (gilthead seabream)],Otros,Específico dorada
acac,,—,,1.56,Alto_ANT-MED,8.135519713124757e-08,acetyl-CoA carboxylase beta,Absorcion_lipidos,Específico lubina
adipor,,—,,2.94,Alto_ANT-MED,1.1783003216257575e-10,adiponectin receptor 2,Absorcion_lipidos,Específico lubina
