GeneID,pvalue,padj,media_ANT,media_MED,media_POS,FC_ANT_vs_POS,FC_MED_vs_POS,FC_ANT_vs_MED,Patron,subject_acc,pct_identity,evalue,bit_score
L3_83747,2.1616233e-18,2.9035146551166637e-14,18.376787,18.373001,13.274004,5.1027830000000005,5.098996999999999,0.0037860000000016,Alto_ANT-MED,XR_007885885.1,100.0,1.79e-24,111.0
L2_28353,4.104778e-18,2.9035146551166637e-14,10.733166,10.727529,4.588352,6.144814,6.139177,0.0056370000000001,Alto_ANT-MED,XR_007885885.1,98.333,8.309999999999999e-23,106.0
L12_34593,2.9191227e-17,1.376560960195076e-13,18.86205,18.858677,9.316545,9.545505,9.542132,0.0033729999999998,Alto_ANT-MED,XM_051390030.1,98.333,8.309999999999999e-23,106.0
L12_84939,1.7558212e-16,6.209900677936645e-13,13.512638,13.367796,18.396969,-4.884330999999998,-5.029172999999998,0.1448420000000005,Alto_POS,,,,
L12_89941,3.1161612000000003e-16,8.816866375796128e-13,14.827564,14.611801,7.976256,6.851308,6.635545,0.2157630000000008,Alto_ANT-MED,XR_007885885.1,100.0,1.79e-24,111.0
L12_83830,6.022536e-16,1.4200136307612586e-12,10.798395,10.80459,16.361315,-5.562920000000002,-5.556725000000002,-0.0061949999999999,Alto_POS,,,,
L12_88586,7.366395e-16,1.4887484574212502e-12,6.3989863,6.521717,10.48965,-4.0906637,-3.967933,-0.1227306999999999,Alto_POS,,,,
L12_84913,1.242155e-15,2.1965957962503472e-12,11.194633,11.154753,5.635489,5.559144,5.519264,0.0398800000000001,Alto_ANT-MED,XM_051411637.1,100.0,8.49e-08,56.5
L12_85179,2.5857049e-15,4.064440750877949e-12,14.427741,14.483564,8.658461,5.769279999999998,5.825102999999999,-0.0558230000000001,Alto_ANT-MED,XM_051426087.1,100.0,2.3099999999999999e-23,108.0
L1_43082,3.4318565e-15,4.855047357711157e-12,11.420073,11.244577,16.974558,-5.554484999999998,-5.729980999999999,0.1754960000000007,Alto_POS,,,,
L12_88402,4.8306386e-15,5.256849602071206e-12,15.868194,15.759623,8.73133,7.136864000000001,7.028293,0.1085710000000013,Alto_ANT-MED,XM_051404768.1,100.0,1.79e-24,111.0
L12_81434,4.469543e-15,5.256849602071206e-12,14.147112,14.241603,6.818284,7.328828,7.423318999999999,-0.0944909999999996,Alto_ANT-MED,XR_007883313.1,100.0,1.79e-24,111.0
L12_82732,4.335135e-15,5.256849602071206e-12,13.1809845,12.884574,2.3706894,10.8102951,10.5138846,0.2964104999999986,Alto_ANT-MED,XM_051407115.1,100.0,1.79e-24,111.0
L12_85830,7.111629e-15,7.186301440835626e-12,13.361953,12.560373,6.1786327,7.1833203,6.381740300000001,0.8015799999999995,Alto_ANT-MED,XM_051380307.1,100.0,1.79e-24,111.0
L12_77773,7.714501e-15,7.275802852511289e-12,17.8491,17.84418,8.743055,9.106045,9.101125,0.0049199999999984,Alto_ANT-MED,XM_051375258.1,100.0,1.79e-24,111.0
L12_82888,9.5887425e-15,8.478246222732896e-12,6.1066055,6.005069,11.046559,-4.9399535000000006,-5.0414900000000005,0.1015364999999999,Alto_POS,,,,
L12_88065,1.5706005e-14,1.3070167879877256e-11,16.914,16.71104,9.327543,7.586457000000001,7.383497,0.2029600000000009,Alto_ANT-MED,XM_051418622.1,98.333,8.309999999999999e-23,106.0
L2_49671,2.343613e-14,1.8419495706743928e-11,6.80882,6.8120837,10.832708,-4.023888,-4.020624300000001,-0.0032636999999997,Alto_POS,,,,
L2_89984,2.8636117e-14,2.025575749171275e-11,2.611127,2.9087093,10.502754,-7.891627,-7.594044699999999,-0.2975822999999997,Alto_POS,,,,
L12_59073,2.728605e-14,2.025575749171275e-11,17.648737,16.875593,6.594992,11.053745,10.280600999999995,0.773144000000002,Alto_ANT-MED,XM_051407222.1,100.0,1.79e-24,111.0
L12_86772,3.6988245e-14,2.4917747651066443e-11,13.04659,13.124868,16.24483,-3.19824,-3.119962000000001,-0.0782779999999991,Alto_POS,,,,
L12_86083,4.9151336e-14,3.1606543510830934e-11,12.215276,12.406809,6.0798483,6.135427699999999,6.326960700000001,-0.1915330000000015,Alto_ANT-MED,XM_051375819.1,100.0,1.79e-24,111.0
L2_38262,5.3894894e-14,3.315004618922256e-11,14.459169,14.654863,10.930284,3.528884999999999,3.724579,-0.1956940000000013,Alto_ANT-MED,XM_051428054.1,95.0,2.33e-18,91.6
L2_88047,6.293717e-14,3.561488598312216e-11,1.911165,3.0150712,11.595853,-9.684688,-8.5807818,-1.1039062,Alto_POS,,,,
L1_18703,6.224899e-14,3.561488598312216e-11,8.990022,9.739217,0.29215154,8.697870459999999,9.44706546,-0.7491950000000003,Alto_ANT-MED,,,,
L12_87775,8.503463e-14,4.6268648726402136e-11,13.730267,15.179498,1.9656872,11.7645798,13.2138108,-1.449231000000001,Alto_ANT-MED,XM_051426151.1,100.0,1.79e-24,111.0
L12_39581,9.02342e-14,4.7279380380497e-11,17.954151,17.80382,13.676908,4.277243,4.126912000000003,0.1503309999999977,Alto_ANT-MED,XM_051386316.1,100.0,1.79e-24,111.0
L12_66049,9.86216e-14,4.9828562295107955e-11,10.8271,10.786612,12.844647,-2.0175470000000004,-2.0580350000000003,0.0404879999999998,Alto_POS,,,,
L12_77001,1.07372146e-13,5.2379094864384875e-11,9.398412,9.547775,11.642559,-2.244147,-2.0947840000000006,-0.1493629999999992,Alto_POS,,,,
L12_66506,1.4145255e-13,6.670430779093529e-11,15.564077,15.893764,6.917783,8.646294,8.975980999999999,-0.3296869999999998,Alto_ANT-MED,XM_051413564.1,100.0,1.79e-24,111.0
L2_75997,1.5952853e-13,7.280161743457638e-11,0.57388276,0.7706004,6.248769,-5.67488624,-5.4781686,-0.1967176399999999,Alto_POS,,,,
L2_51754,1.7239538e-13,7.621492112092288e-11,1.4228809,2.3873901,10.39319,-8.970309100000001,-8.0057999,-0.9645092000000002,Alto_POS,,,,
L12_87958,1.8139377e-13,7.776296064210112e-11,12.294938,12.155601,15.705374,-3.4104360000000007,-3.549773,0.1393369999999993,Alto_POS,,,,
L12_86403,2.4246143e-13,1.0088534973206672e-10,11.233484,11.550054,6.35089,4.882594000000001,5.199164,-0.3165699999999987,Alto_ANT-MED,XM_051406384.1,100.0,1.79e-24,111.0
L2_7997,2.665181e-13,1.0772661203839115e-10,3.3988655,3.3186908,7.068138,-3.6692725,-3.7494472,0.0801746999999997,Alto_POS,,,,
L12_89397,3.165011e-13,1.1783003216257575e-10,16.816916,16.563822,6.114166,10.702749999999998,10.449655999999996,0.2530940000000008,Alto_ANT-MED,XM_051404293.1,100.0,1.79e-24,111.0
L12_85158,3.019733e-13,1.1783003216257575e-10,15.372314,15.8003,6.323817,9.048497,9.476483,-0.4279860000000006,Alto_ANT-MED,XM_051418546.1,100.0,1.79e-24,111.0
